country;year;date;party_abbr;party_name;parlgov_id;pr_ingov_mean;pr_ingov_lower;pr_ingov_upper;excluding;excluding_parlgov_id
denmark;1947;13.11.1947;DKP;Communist Party of Denmark;1239;0,014261;0,009332;0,02105;KF;590
denmark;1947;13.11.1947;DKP;Communist Party of Denmark;1239;0,014583;0,009712;0,021344;RF;1606
denmark;1947;13.11.1947;DKP;Communist Party of Denmark;1239;0,00889;0,005798;0,01305;RV;211
denmark;1947;13.11.1947;DKP;Communist Party of Denmark;1239;0,004171;0,002714;0,006446;Sd;1629
denmark;1947;13.11.1947;DKP;Communist Party of Denmark;1239;0,011073;0,006829;0,016755;V;1605
denmark;1947;13.11.1947;DKP;Communist Party of Denmark;1239;0,020488;0,013681;0,029714;;
denmark;1947;13.11.1947;KF;Conservatives;590;0,328152;0,266003;0,395866;DKP;1239
denmark;1947;13.11.1947;KF;Conservatives;590;0,226179;0,182949;0,277617;RF;1606
denmark;1947;13.11.1947;KF;Conservatives;590;0,111113;0,086364;0,140496;RV;211
denmark;1947;13.11.1947;KF;Conservatives;590;0,133586;0,100459;0,173873;Sd;1629
denmark;1947;13.11.1947;KF;Conservatives;590;0,149419;0,104564;0,198518;V;1605
denmark;1947;13.11.1947;KF;Conservatives;590;0,334379;0,270746;0,403041;;
denmark;1947;13.11.1947;RF;Justice Party;1606;0,253405;0,221043;0,285279;DKP;1239
denmark;1947;13.11.1947;RF;Justice Party;1606;0,15111;0,12383;0,181531;KF;590
denmark;1947;13.11.1947;RF;Justice Party;1606;0,122321;0,101106;0,144305;RV;211
denmark;1947;13.11.1947;RF;Justice Party;1606;0,082969;0,06438;0,105491;Sd;1629
denmark;1947;13.11.1947;RF;Justice Party;1606;0,103532;0,078906;0,129788;V;1605
denmark;1947;13.11.1947;RF;Justice Party;1606;0,259311;0,226435;0,291505;;
denmark;1947;13.11.1947;RV;Danish Social Liberal Party;211;0,431434;0,361121;0,495463;DKP;1239
denmark;1947;13.11.1947;RV;Danish Social Liberal Party;211;0,219766;0,173539;0,271562;KF;590
denmark;1947;13.11.1947;RV;Danish Social Liberal Party;211;0,306042;0,256541;0,35712;RF;1606
denmark;1947;13.11.1947;RV;Danish Social Liberal Party;211;0,170807;0,127814;0,220381;Sd;1629
denmark;1947;13.11.1947;RV;Danish Social Liberal Party;211;0,160387;0,115164;0,206908;V;1605
denmark;1947;13.11.1947;RV;Danish Social Liberal Party;211;0,443033;0,370119;0,510429;;
denmark;1947;13.11.1947;Sd;Social Democrats;1629;0,666457;0,575669;0,741652;DKP;1239
denmark;1947;13.11.1947;Sd;Social Democrats;1629;0,48198;0,406049;0,552521;KF;590
denmark;1947;13.11.1947;Sd;Social Democrats;1629;0,506432;0,435132;0,568065;RF;1606
denmark;1947;13.11.1947;Sd;Social Democrats;1629;0,410548;0,337386;0,484981;RV;211
denmark;1947;13.11.1947;Sd;Social Democrats;1629;0,306865;0,2237;0,397482;V;1605
denmark;1947;13.11.1947;Sd;Social Democrats;1629;0,682773;0,590898;0,759024;;
denmark;1947;13.11.1947;V;Liberal Party;1605;0,628632;0,530877;0,724817;DKP;1239
denmark;1947;13.11.1947;V;Liberal Party;1605;0,453087;0,363751;0,549349;KF;590
denmark;1947;13.11.1947;V;Liberal Party;1605;0,482268;0,399044;0,570202;RF;1606
denmark;1947;13.11.1947;V;Liberal Party;1605;0,355402;0,273154;0,448474;RV;211
denmark;1947;13.11.1947;V;Liberal Party;1605;0,262139;0,189867;0,349904;Sd;1629
denmark;1947;13.11.1947;V;Liberal Party;1605;0,638047;0,539871;0,733787;;
denmark;1950;16.09.1950;DKP;Communist Party of Denmark;1239;0,005801;0,003556;0,009021;KF;590
denmark;1950;16.09.1950;DKP;Communist Party of Denmark;1239;0,00518;0,003198;0,00789;RF;1606
denmark;1950;16.09.1950;DKP;Communist Party of Denmark;1239;0,003509;0,002146;0,005403;RV;211
denmark;1950;16.09.1950;DKP;Communist Party of Denmark;1239;0,001708;0,000997;0,002835;Sd;1629
denmark;1950;16.09.1950;DKP;Communist Party of Denmark;1239;0,00434;0,002622;0,006945;V;1605
denmark;1950;16.09.1950;DKP;Communist Party of Denmark;1239;0,007938;0,004944;0,012155;;
denmark;1950;16.09.1950;KF;Conservatives;590;0,102215;0,072371;0,136727;DKP;1239
denmark;1950;16.09.1950;KF;Conservatives;590;0,063288;0,044652;0,085296;RF;1606
denmark;1950;16.09.1950;KF;Conservatives;590;0,049532;0,034471;0,068723;RV;211
denmark;1950;16.09.1950;KF;Conservatives;590;0,035971;0,022894;0,052773;Sd;1629
denmark;1950;16.09.1950;KF;Conservatives;590;0,049817;0,034367;0,069307;V;1605
denmark;1950;16.09.1950;KF;Conservatives;590;0,104352;0,0738;0,139522;;
denmark;1950;16.09.1950;RF;Justice Party;1606;0,120017;0,084573;0,15766;DKP;1239
denmark;1950;16.09.1950;RF;Justice Party;1606;0,08171;0,056525;0,111036;KF;590
denmark;1950;16.09.1950;RF;Justice Party;1606;0,037808;0,02651;0,051211;RV;211
denmark;1950;16.09.1950;RF;Justice Party;1606;0,038492;0,024596;0,055094;Sd;1629
denmark;1950;16.09.1950;RF;Justice Party;1606;0,057955;0,039778;0,080177;V;1605
denmark;1950;16.09.1950;RF;Justice Party;1606;0,122775;0,086351;0,1614;;
denmark;1950;16.09.1950;RV;Danish Social Liberal Party;211;0,156346;0,109282;0,21312;DKP;1239
denmark;1950;16.09.1950;RV;Danish Social Liberal Party;211;0,105956;0,072856;0,145131;KF;590
denmark;1950;16.09.1950;RV;Danish Social Liberal Party;211;0,075808;0,052482;0,104264;RF;1606
denmark;1950;16.09.1950;RV;Danish Social Liberal Party;211;0,049168;0,030786;0,072012;Sd;1629
denmark;1950;16.09.1950;RV;Danish Social Liberal Party;211;0,071126;0,04828;0,099023;V;1605
denmark;1950;16.09.1950;RV;Danish Social Liberal Party;211;0,160775;0,112488;0,218757;;
denmark;1950;16.09.1950;Sd;Social Democrats;1629;0,924787;0,893964;0,949763;DKP;1239
denmark;1950;16.09.1950;Sd;Social Democrats;1629;0,862637;0,818908;0,901629;KF;590
denmark;1950;16.09.1950;Sd;Social Democrats;1629;0,846735;0,798623;0,891656;RF;1606
denmark;1950;16.09.1950;Sd;Social Democrats;1629;0,81941;0,759146;0,872528;RV;211
denmark;1950;16.09.1950;Sd;Social Democrats;1629;0,795261;0,734162;0,854036;V;1605
denmark;1950;16.09.1950;Sd;Social Democrats;1629;0,931018;0,900787;0,954705;;
