Nr.,Ressortområde,Minister,Minister.1,Tiltrådt posten,Forlod posten,Parti,Valgt som
1,Statsminister,,Mette Frederiksen,15. december 2022[fn 2],Nuværende,Socialdemokratiet,MF
2,Økonomiminister (til 22. august 2023) Vicestatsminister og økonomiminister (fra 22. august 2023),,Troels Lund Poulsen,15. december 2022,22. august 2023,Venstre,MF
2,Økonomiminister (til 22. august 2023) Vicestatsminister og økonomiminister (fra 22. august 2023),,Jakob Ellemann-Jensen,22. august 2023,Nuværende,Venstre,MF
-,Minister uden portefølje med henblik på ledelsen af de under Økonomiministeriet hørende forretninger,,Stephanie Lose,9. marts 2023,1. august 2023,Venstre,"Regionrådsformand for Region Syddanmark, udnævnt som aflastning for økonominister Troels Lund Poulsen."
3,Udenrigsminister,,Lars Løkke Rasmussen,15. december 2022,Nuværende,Moderaterne,MF
4,Finansminister,,Nicolai Wammen,15. december 2022[fn 2],Nuværende,Socialdemokratiet,MF
5,Vicestatsminister og forsvarsminister (til 22. august 2023) Forsvarsminister (fra 22. august 2023),,Jakob Ellemann-Jensen,15. december 2022,22. august 2023,Venstre,MF
5,Vicestatsminister og forsvarsminister (til 22. august 2023) Forsvarsminister (fra 22. august 2023),,Troels Lund Poulsen (fungerende forsvarsminister),6. februar 2023,1. august 2023,Venstre,"MF, fungerende forsvarsminister grundet Jakob Ellemann-Jensens sygemelding"
5,Vicestatsminister og forsvarsminister (til 22. august 2023) Forsvarsminister (fra 22. august 2023),,Troels Lund Poulsen,22. august 2023,Nuværende,Venstre,MF
6,Indenrigs- og sundhedsminister,,Sophie Løhde,15. december 2022,Nuværende,Venstre,MF
7,Justitsminister,,Peter Hummelgaard,15. december 2022,Nuværende,Socialdemokratiet,MF
8,Kulturminister,,Jakob Engel-Schmidt,15. december 2022,Nuværende,Moderaterne,MF
9,Erhvervsminister,,Morten Bødskov,15. december 2022,Nuværende,Socialdemokratiet,MF
10,Minister for udviklingssamarbejde og global klimapolitik,,Dan Jørgensen,15. december 2022,Nuværende,Socialdemokratiet,MF
11,Miljøminister,,Magnus Heunicke,15. december 2022,Nuværende,Socialdemokratiet,MF
12,Social- og boligminister,,Pernille Rosenkrantz-Theil,15. december 2022,Nuværende,Socialdemokratiet,MF
13,Beskæftigelsesminister,,Ane Halsboe-Jørgensen,15. december 2022,Nuværende,Socialdemokratiet,MF
14,Børne- og undervisningsminister,,Mattias Tesfaye,15. december 2022,Nuværende,Socialdemokratiet,MF
15,Udlændinge- og integrationsminister,,Kaare Dybvad Bek,15. december 2022[fn 3],Nuværende,Socialdemokratiet,MF
16,Skatteminister,,Jeppe Bruus,15. december 2022[fn 4],Nuværende,Socialdemokratiet,MF
17,"Fødevare-, landbrugs- og fiskeriminister",,Jacob Jensen,15. december 2022,Nuværende,Venstre,MF
18,"Kirkeminister, minister for landdistrikter og minister for nordisk samarbejde",,Louise Schack Elholm,15. december 2022,Nuværende,Venstre,MF
19,Transportminister,,Thomas Danielsen,15. december 2022,Nuværende,Venstre,MF
20,Uddannelses- og forskningsminister,,Christina Egelund,15. december 2022,Nuværende,Moderaterne,Erhvervskvinde
21,Digitaliserings- og ligestillingsminister,,Marie Bjerre,15. december 2022,Nuværende,Venstre,MF
22,Ældreminister,,Mette Kierkgaard,15. december 2022,Nuværende,Moderaterne,MF
23,"Klima-, energi- og forsyningsminister",,Lars Aagaard,15. december 2022,Nuværende,Moderaterne,Erhvervs- og organisationsmand
